,Datetime,State,Confirmed,Cured,Deaths
103,2020-03-11 18:00:00,Uttar Pradesh,9,0,0
104,2020-03-11 18:00:00,Ladakh,2,0,0
105,2020-03-11 18:00:00,Tamil Nadu,1,0,0
106,2020-03-11 18:00:00,Jammu and Kashmir,1,0,0
107,2020-03-11 18:00:00,Punjab,1,0,0
108,2020-03-11 18:00:00,Karnataka,4,0,0
109,2020-03-12 18:00:00,Delhi,6,0,0
110,2020-03-12 18:00:00,Haryana,14,0,0
111,2020-03-12 18:00:00,Kerala,17,3,0
112,2020-03-12 18:00:00,Rajasthan,3,0,0
113,2020-03-12 18:00:00,Telangana,1,0,0
114,2020-03-12 18:00:00,Uttar Pradesh,11,0,0
115,2020-03-12 18:00:00,Ladakh,3,0,0
116,2020-03-12 18:00:00,Tamil Nadu,1,0,0
117,2020-03-12 18:00:00,Jammu and Kashmir,1,0,0
118,2020-03-12 18:00:00,Punjab,1,0,0
119,2020-03-12 18:00:00,Karnataka,4,0,0
120,2020-03-12 18:00:00,Maharashtra,11,0,0
121,2020-03-12 18:00:00,Andhra Pradesh,1,0,0
122,2020-03-13 18:00:00,Delhi,6,0,0
123,2020-03-13 18:00:00,Haryana,14,0,0
124,2020-03-13 18:00:00,Kerala,19,3,0
125,2020-03-13 18:00:00,Rajasthan,3,0,0
126,2020-03-13 18:00:00,Telangana,1,0,0
127,2020-03-13 18:00:00,Uttar Pradesh,11,0,0
128,2020-03-13 18:00:00,Ladakh,3,0,0
129,2020-03-13 18:00:00,Tamil Nadu,1,0,0
130,2020-03-13 18:00:00,Jammu and Kashmir,1,0,0
131,2020-03-13 18:00:00,Punjab,1,0,0
132,2020-03-13 18:00:00,Karnataka,6,0,1
133,2020-03-13 18:00:00,Maharashtra,14,0,0
134,2020-03-13 18:00:00,Andhra Pradesh,1,0,0
135,2020-03-14 18:00:00,Delhi,7,1,1
136,2020-03-14 18:00:00,Haryana,14,0,0
137,2020-03-14 18:00:00,Kerala,19,3,0
138,2020-03-14 18:00:00,Rajasthan,3,1,0
139,2020-03-14 18:00:00,Telangana,1,0,0
140,2020-03-14 18:00:00,Uttar Pradesh,12,5,0
141,2020-03-14 18:00:00,Ladakh,3,0,0
142,2020-03-14 18:00:00,Tamil Nadu,1,0,0
143,2020-03-14 18:00:00,Jammu and Kashmir,2,0,0
144,2020-03-14 18:00:00,Punjab,1,0,0
145,2020-03-14 18:00:00,Karnataka,6,0,1
146,2020-03-14 18:00:00,Maharashtra,14,0,0
147,2020-03-14 18:00:00,Andhra Pradesh,1,0,0
148,2020-03-15 18:00:00,Andhra Pradesh,1,0,0
149,2020-03-15 18:00:00,Delhi,7,2,1
150,2020-03-15 18:00:00,Haryana,14,0,0
151,2020-03-15 18:00:00,Karnataka,6,0,1
152,2020-03-15 18:00:00,Kerala,22,3,0
153,2020-03-15 18:00:00,Maharashtra,32,0,0
154,2020-03-15 18:00:00,Punjab,1,0,0
155,2020-03-15 18:00:00,Rajasthan,4,3,0
156,2020-03-15 18:00:00,Tamil Nadu,1,0,0
157,2020-03-15 18:00:00,Telangana,3,1,0
158,2020-03-15 18:00:00,Jammu and Kashmir,2,0,0
159,2020-03-15 18:00:00,Ladakh,3,0,0
160,2020-03-15 18:00:00,Uttar Pradesh,13,4,0
161,2020-03-15 18:00:00,Uttarakhand,1,0,0
162,2020-03-16 18:00:00,Andhra Pradesh,1,0,0
163,2020-03-16 18:00:00,Delhi,7,2,1
164,2020-03-16 18:00:00,Haryana,14,0,0
165,2020-03-16 18:00:00,Karnataka,6,0,1
166,2020-03-16 18:00:00,Kerala,23,3,0
167,2020-03-16 18:00:00,Maharashtra,32,0,0
168,2020-03-16 18:00:00,Odisha,1,0,0
169,2020-03-16 18:00:00,Punjab,1,0,0
170,2020-03-16 18:00:00,Rajasthan,4,3,0
171,2020-03-16 18:00:00,Tamil Nadu,1,0,0
172,2020-03-16 18:00:00,Telangana,3,1,0
173,2020-03-16 18:00:00,Jammu and Kashmir,3,0,0
174,2020-03-16 18:00:00,Ladakh,4,0,0
