,Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
0,2020-01-30,1,1,0,0,0,0
1,2020-01-31,0,1,0,0,0,0
2,2020-02-01,0,1,0,0,0,0
3,2020-02-02,1,2,0,0,0,0
4,2020-02-03,1,3,0,0,0,0
5,2020-02-04,0,3,0,0,0,0
6,2020-02-05,0,3,0,0,0,0
7,2020-02-06,0,3,0,0,0,0
8,2020-02-07,0,3,0,0,0,0
9,2020-02-08,0,3,0,0,0,0
10,2020-02-09,0,3,0,0,0,0
11,2020-02-10,0,3,0,0,0,0
12,2020-02-11,0,3,0,0,0,0
13,2020-02-12,0,3,0,0,0,0
14,2020-02-13,0,3,1,1,0,0
15,2020-02-14,0,3,0,1,0,0
16,2020-02-15,0,3,0,1,0,0
17,2020-02-16,0,3,1,2,0,0
18,2020-02-17,0,3,0,2,0,0
19,2020-02-18,0,3,0,2,0,0
20,2020-02-19,0,3,0,2,0,0
21,2020-02-20,0,3,1,3,0,0
22,2020-02-21,0,3,0,3,0,0
23,2020-02-22,0,3,0,3,0,0
24,2020-02-23,0,3,0,3,0,0
25,2020-02-24,0,3,0,3,0,0
26,2020-02-25,0,3,0,3,0,0
27,2020-02-26,0,3,0,3,0,0
28,2020-02-27,0,3,0,3,0,0
29,2020-02-28,0,3,0,3,0,0
30,2020-02-29,0,3,0,3,0,0
31,2020-03-01,0,3,0,3,0,0
32,2020-03-02,2,5,0,3,0,0
33,2020-03-03,1,6,0,3,0,0
34,2020-03-04,22,28,0,3,0,0
35,2020-03-05,2,30,0,3,0,0
36,2020-03-06,1,31,0,3,0,0
37,2020-03-07,3,34,0,3,0,0
38,2020-03-08,5,39,0,3,0,0
39,2020-03-09,9,48,0,3,0,0
40,2020-03-10,15,63,1,4,0,0
41,2020-03-11,8,71,0,4,0,0
42,2020-03-12,10,81,0,4,1,1
43,2020-03-13,10,91,6,10,0,1
44,2020-03-14,11,102,0,10,1,2
45,2020-03-15,10,112,3,13,0,2
46,2020-03-16,14,126,1,14,0,2
47,2020-03-17,20,146,1,15,1,3
48,2020-03-18,25,171,0,15,0,3
49,2020-03-19,27,198,5,20,1,4
50,2020-03-20,58,256,3,23,0,4
51,2020-03-21,78,334,0,23,0,4
52,2020-03-22,69,403,0,23,3,7
53,2020-03-23,94,497,2,25,2,9
54,2020-03-24,74,571,15,40,1,10
55,2020-03-25,86,657,3,43,1,11
56,2020-03-26,73,730,7,50,5,16
57,2020-03-27,153,883,25,75,3,19
58,2020-03-28,136,1019,10,85,5,24
59,2020-03-29,120,1139,17,102,3,27
60,2020-03-30,187,1326,35,137,14,41
61,2020-03-31,309,1635,13,150,6,47
62,2020-04-01,424,2059,19,169,6,53
63,2020-04-02,486,2545,22,191,16,69
64,2020-04-03,560,3105,39,230,14,83
65,2020-04-04,579,3684,56,286,13,96
66,2020-04-05,609,4293,43,329,22,118
67,2020-04-06,484,4777,65,394,16,134
68,2020-04-07,573,5350,75,469,27,161
69,2020-04-08,565,5915,96,565,20,181
70,2020-04-09,813,6728,70,635,46,227
71,2020-04-10,871,7599,151,786,22,249
72,2020-04-11,854,8453,186,972,41,290
